trading_symbol,exchange,type,name,instrument_key
ALKEM25JUL4450CE,NSE_FO,OPTSTK,ALKEM LABORATORIES LTD.,NSE_FO|76164
TITAN25JUN3440PE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144595
GRASIM25JUN2520CE,NSE_FO,OPTSTK,GRASIM INDUSTRIES LTD,NSE_FO|91764
TITAN25JUN3480CE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144596
GRASIM25JUN2520PE,NSE_FO,OPTSTK,GRASIM INDUSTRIES LTD,NSE_FO|91765
TITAN25JUN3480PE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144597
GMRAIRPORT25JUN79PE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91766
TITAN25JUN3520CE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144598
GMRAIRPORT25JUN81CE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91767
TITAN25JUN3360PE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144591
GMRAIRPORT25JUN81PE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91768
TITAN25JUN3400CE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144592
GMRAIRPORT25JUN83CE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91769
TITAN25JUN3400PE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144593
TITAN25JUN3440CE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144594
TITAN25JUN3520PE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144599
TITAN25JUN3360CE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144590
TITAN25JUN3240CE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144584
TITAN25JUN3240PE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144585
TITAN25JUN3280CE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144586
TITAN25JUN3280PE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144587
TITAN25JUN3160CE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144580
TITAN25JUN3160PE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144581
TITAN25JUN3200CE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144582
TITAN25JUN3200PE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144583
TITAN25JUN3320CE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144588
TITAN25JUN3320PE,NSE_FO,OPTSTK,TITAN COMPANY LIMITED,NSE_FO|144589
EURINR25DEC93CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3200
EURINR2580892.75PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3201
EURINR26MAR93PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3202
EURINR2571896CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3203
BANKNIFTY25AUG55300PE,NSE_FO,OPTIDX,BANKNIFTY,NSE_FO|66785
BANKNIFTY25AUG55400CE,NSE_FO,OPTIDX,BANKNIFTY,NSE_FO|66786
BANKNIFTY25AUG55400PE,NSE_FO,OPTIDX,BANKNIFTY,NSE_FO|66787
BANKNIFTY25AUG55500CE,NSE_FO,OPTIDX,BANKNIFTY,NSE_FO|66788
GRASIM25JUN2480CE,NSE_FO,OPTSTK,GRASIM INDUSTRIES LTD,NSE_FO|91748
ADANIPORTS25AUG1600CE,NSE_FO,OPTSTK,ADANI PORT & SEZ LTD,NSE_FO|76102
ADANIPORTS25AUG1600PE,NSE_FO,OPTSTK,ADANI PORT & SEZ LTD,NSE_FO|76103
NIFTY50 VALUE 20,NSE_INDEX,INDEX,Nifty50 Value 20,NSE_INDEX|Nifty50 Value 20
